names,prices,ratings,totalratings,restypes,areas,offers
Continental Bite's,3.220+ ratings-- MINSDelivery Time₹ 400Cost for two,3.220+ ratings-- MINSDelivery Time₹ 400Cost for two,20+ ratings,"Continental, Snacks","Hi-tech City, Madhapur, Madhapur",
Grameen Kulfi,4.620+ ratings-- MINSDelivery Time₹ 120Cost for two,4.620+ ratings-- MINSDelivery Time₹ 120Cost for two,20+ ratings,"Ice Cream, Desserts","madhapur, Madhapur",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO50% off up to ₹100 | Use code TRYNEW
DI PASTA,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,Pastas,"Madhapur, Madhapur",
Hyderabad Spice,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowBiryani, Chinese, North Indian, Italian, Mexican","Raheja Mind Space, Sector 3, Madhapur",
Express By Ab's,3.650+ ratings-- MINSDelivery Time₹ 300Cost for two,3.650+ ratings-- MINSDelivery Time₹ 300Cost for two,50+ ratings,"Barbecue, Biryani, North Indian, Thalis","Madhapur, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
SAI RAM MESS,4.120+ ratings-- MINSDelivery Time₹ 300Cost for two,4.120+ ratings-- MINSDelivery Time₹ 300Cost for two,20+ ratings,"Indian, Combo","Patrika Nagar
, Madhapur",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY20% off up to ₹50 | Use code SWIGGYIT
RollsKing,4.31000+ ratings-- MINSDelivery Time₹ 200Cost for two,4.31000+ ratings-- MINSDelivery Time₹ 200Cost for two,1000+ ratings,Fast Food,"Ayyappa Society, Madhapur",Offer20% off up to ₹50 | Use code SWIGGYIT
wok Box,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,Too Few Ratings,"Opens next at 5 pm, tomorrowChinese","Madhapur, Madhapur",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY30% off up to ₹75 | Use code SWIGGYIT
Karachi cafe,4.450+ ratings-- MINSDelivery Time₹ 200Cost for two,4.450+ ratings-- MINSDelivery Time₹ 200Cost for two,50+ ratings,"Bakery, Desserts, Fast Food, Chinese, Haleem","Hitech city Main Road, Madhapur",Offer15% off up to ₹100 on orders above ₹400 | Use code JUMBO15% off up to ₹45 | Use code SWIGGYIT
Punjabi Tales- By Rayalseema Ruchulu,--Too Few Ratings-- MINSDelivery Time₹ 399Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 399Cost for two,Too Few Ratings,"North Indian, Tandoor, Kebabs, Desserts","Madhapur, Madhapur",
Murali Krishna Hotel,3.8100+ ratingsClosedFor Delivery₹ 100Cost for two,3.8100+ ratingsClosedFor Delivery₹ 100Cost for two,100+ ratings,"Opens next at 7 am, tomorrowSouth Indian, Biryani, North Indian","Madhapur, Madhapur",Offer20% off up to ₹50 | Use code SWIGGYIT
Sha Sha - Shandaar Shawarma,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,--Too Few RatingsClosedFor Delivery₹ 150Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowLebanese, Arabian","100 feet Road, Madhapur",
The Southern Chef,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 6 pm, tomorrowAndhra, Seafood, South Indian","Madhapur, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
Kwality Walls Frozen Dessert & Ice Cream Shop,--Too Few Ratings-- MINSDelivery Time₹ 100Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 100Cost for two,Too Few Ratings,"Desserts, Ice Cream","Todays Bahar Restaurant, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
